azon;nev;hossz;melyseg;telepules;vedettseg
205;Szurdok-völgyi 2. sz. víznyelõ;206;76;Pilisszentkereszt;megkülönböztetetten védett
206;Tábla-völgyi-barlang;350;78;Tés;megkülönböztetetten védett
207;Tábor-hegyi-barlang;162;16;Budapest III. Ker.;megkülönböztetetten védett
208;Tatár-árki-barlang;156;35;Miskolc III.Kerület;fokozottan védett
209;Tektonik-zsomboly;350;80;Bódvaszilas;megkülönböztetetten védett
210;Tettyei-mésztufabarlang;258;6;Pécs II. Ker.;megkülönböztetetten védett
211;Trió-barlang;298;58;Orfû;megkülönböztetetten védett
212;Tûzköves-hegyi-barlang;156;5;Szentgál;fokozottan védett
213;Udvar-kõ;218;14;Parasznya;fokozottan védett
214;Útmenti-víznyelõbarlang;161;59;Miskolc III.Kerület;megkülönböztetetten védett
215;Útmenti-zsomboly;139;24;Miskolc III.Kerület;megkülönböztetetten védett
216;Ürömi-víznyelõbarlang;214;26;Üröm;fokozottan védett
217;Vaddisznós-barlang;232;45;Balatongyörök;megkülönböztetetten védett
218;Vadetetõs-víznyelõbarlang;180;35;Kõvágótöttös;védett
219;Vár-tetõi-barlang;550;99;Miskolc III.Kerület;fokozottan védett
220;Vass Imre-barlang;2233;12;Jósvafõ;fokozottan védett
221;Vecsembükki-zsomboly;896;234;Bódvaszilas;fokozottan védett
222;Vénusz-barlang;637;18;Parasznya;fokozottan védett
223;Veres-hegyi-barlang;158;44;Tatabánya;megkülönböztetetten védett
224;Vértes László-barlang;164;58;Vértesszõlõs;megkülönböztetetten védett
225;Vértessomlói-barlang;180;36;Vértessomló;fokozottan védett
226;Vesszõs-gerinci-barlang;222;6;Miskolc III.Kerület;megkülönböztetetten védett
227;Viktória-barlang;724;41;Miskolc II.Kerület;fokozottan védett
228;Zsendice-barlang;111;12;Kács;megkülönböztetetten védett
229;Zsófiapusztai-víznyelõbarlang;177;33;Úrkút;védett
